cell_fraction	female_change_per_10_adult_years	female_hc3_p	male_change_per_10_adult_years	male_hc3_p	male_minus_female_change_per_10_adult_years	interaction_hc3_p	interaction_fdr
CD8T	-0.0061541555643847305	5.277680144830367e-07	-0.005149283946405674	0.0007405892345013532	0.0010048716179790562	0.5997569513956429	1.0
CD4T	-0.001571808283872827	0.2711019753991203	-0.005205751122035164	0.00033725427856290196	-0.0036339428381623375	0.06154397665438325	0.3692638599262995
NK	0.013855812588982254	6.702341936879272e-26	0.013283368103997642	4.622104242463608e-17	-0.0005724444849846114	0.7663266699407486	1.0
Bcell	-0.0022924927075629637	0.0011614475759933237	-0.005739927953950826	7.532085133919435e-12	-0.0034474352463878632	0.0013703621753115432	0.00822217305186926
Mono	-9.289046529822574e-05	0.8842666462176516	0.0006283423640027451	0.4424584124664883	0.0007212328293009708	0.4819370108790191	1.0
Gran	-0.002284372620761235	0.30027411241832225	0.003910999789755567	0.13851951034624568	0.006195372410516801	0.06488096897083648	0.38928581382501887
